Date,IPO_Name,Profile,Issue_Size,QIB,HNI,RII,Total,Bid_Price,Listing_Open,Listing_Close,Listing_Gains,CMP,Current_Gains
28-06-21,Dodla Dairy,/ipo/dodla-dairy_DD02.html,521.0,84.88,73.26,11.34,45.62,428.0,550.0,609.1,42.31,592.6,38.46
24-06-21,Sona BLW,/ipo/sona-blw_SBP04.html,5550.0,1.57,0.22,0.66,1.04,291.0,302.4,362.85,24.69,711.1,144.36
24-06-21,Shyam Metalics,/ipo/shyam-metalics_SME05.html,909.0,62.18,172.51,5.29,56.56,306.0,380.0,375.85,22.83,340.25,11.19
14-05-21,PowerGrid InvIT,/ipo/powergrid-invit_PII04.html,7734.99,0.0,0.0,0.0,0.0,100.0,104.0,102.98,2.98,120.03,20.03
19-04-21,Macrotech Dev,/ipo/macrotech-dev_MD04.html,2500.0,3.05,1.44,0.4,1.36,486.0,439.0,463.15,-4.7,1378.35,183.61
07-04-21,Barbeque Nat,/ipo/barbeque-nat_BNH.html,453.6,0.0,0.0,0.0,0.0,500.0,492.0,590.4,18.08,1530.65,206.13
30-03-21,Nazara,/ipo/nazara_NT03.html,582.91,52.82,148.42,34.49,75.04,1101.0,1971.0,1576.8,43.22,2289.9,107.98
26-03-21,Suryoday Small,/ipo/suryoday-small_SSF08.html,582.34,2.18,1.31,3.09,2.37,305.0,274.75,276.2,-9.44,158.8,-47.93
26-03-21,Kalyan Jeweller,/ipo/kalyan-jeweller_KJI01.html,1175.0,1.18,0.97,1.47,1.28,87.0,73.9,75.3,-13.45,72.85,-16.26
25-03-21,Craftsman,/ipo/craftsman_CA07.html,823.7,0.56,0.05,1.04,0.69,1490.0,1440.0,1433.0,-3.83,2352.2,57.87
